2019-05-01 15:07:24,574: 'f':
2019-05-01 15:07:24,684: 'a':
2019-05-01 15:07:24,809: 'r':
2019-05-01 15:07:25,027: Key.space:
2019-05-01 15:07:25,245: 'f':
2019-05-01 15:07:25,370: 'a':
2019-05-01 15:07:25,480: 'r':
2019-05-01 15:07:25,964: Key.space:
2019-05-01 15:07:26,230: 'a':
2019-05-01 15:07:26,495: 'w':
2019-05-01 15:07:26,620: 'a':
2019-05-01 15:07:26,871: 'y':
2019-05-01 15:07:27,308: Key.space:
2019-05-01 15:07:27,949: 'b':
2019-05-01 15:07:28,090: 'e':
2019-05-01 15:07:28,340: 'h':
2019-05-01 15:07:28,465: 'i':
2019-05-01 15:07:28,825: 'n':
2019-05-01 15:07:29,277: 'd':
2019-05-01 15:07:29,449: Key.space:
2019-05-01 15:07:30,512: 't':
2019-05-01 15:07:30,621: 'h':
2019-05-01 15:07:30,730: 'e':
2019-05-01 15:07:30,840: Key.space:
2019-05-01 15:07:31,152: 'w':
2019-05-01 15:07:31,339: 'o':
2019-05-01 15:07:31,527: 'r':
2019-05-01 15:07:31,730: 'd':
2019-05-01 15:07:32,480: Key.space:
2019-05-01 15:07:32,933: 'm':
2019-05-01 15:07:33,355: 'o':
2019-05-01 15:07:33,496: 'u':
2019-05-01 15:07:33,668: 'n':
2019-05-01 15:07:33,840: 't':
2019-05-01 15:07:34,043: 'a':
2019-05-01 15:07:34,418: 'i':
2019-05-01 15:07:34,745: 's':
2019-05-01 15:07:36,215: Key.space:
2019-05-01 15:07:36,825: 'f':
2019-05-01 15:07:36,918: 'a':
2019-05-01 15:07:37,058: 'r':
2019-05-01 15:07:37,246: Key.space:
2019-05-01 15:07:37,995: 'f':
2019-05-01 15:07:38,184: 'r':
2019-05-01 15:07:38,309: 'o':
2019-05-01 15:07:38,464: 'm':
2019-05-01 15:07:38,809: Key.space:
2019-05-01 15:07:39,449: 't':
2019-05-01 15:07:39,590: 'h':
2019-05-01 15:07:39,683: 'e':
2019-05-01 15:07:39,840: Key.space:
2019-05-01 15:07:40,981: 'c':
2019-05-01 15:07:41,184: 'o':
2019-05-01 15:07:41,246: 'u':
2019-05-01 15:07:41,433: 'n':
2019-05-01 15:07:41,559: 't':
2019-05-01 15:07:41,793: 'r':
2019-05-01 15:07:42,074: 'i':
2019-05-01 15:07:42,167: 'e':
2019-05-01 15:07:42,293: 's':
2019-05-01 15:07:42,558: Key.space:
2019-05-01 15:07:44,028: 'c':
2019-05-01 15:07:44,168: 'o':
2019-05-01 15:07:44,808: 'k':
2019-05-01 15:07:45,215: 'a':
2019-05-01 15:07:45,620: 'l':
2019-05-01 15:07:45,778: 'i':
2019-05-01 15:07:45,964: 'a':
2019-05-01 15:07:46,699: Key.space:
2019-05-01 15:07:47,043: 'a':
2019-05-01 15:07:47,231: 'n':
2019-05-01 15:07:47,356: 'd':
2019-05-01 15:07:47,481: Key.space:
2019-05-01 15:07:48,309: 'c':
2019-05-01 15:07:48,621: 'o':
2019-05-01 15:07:48,746: 'n':
2019-05-01 15:07:49,793: 's':
2019-05-01 15:07:50,199: 'o':
2019-05-01 15:07:50,325: 'n':
2019-05-01 15:07:53,198: 'a':
2019-05-01 15:07:53,464: 'n':
2019-05-01 15:07:53,949: 't':
2019-05-01 15:07:54,136: 'i':
2019-05-01 15:07:54,339: 'a':
2019-05-01 15:07:55,074: Key.space:
2019-05-01 15:07:55,715: 't':
2019-05-01 15:07:55,840: 'h':
2019-05-01 15:07:55,918: 'e':
2019-05-01 15:07:56,043: 'r':
2019-05-01 15:07:56,184: 'e':
2019-05-01 15:07:56,417: Key.space:
2019-05-01 15:07:56,762: 'l':
2019-05-01 15:07:56,949: 'i':
2019-05-01 15:07:57,199: 'v':
2019-05-01 15:07:57,324: 'e':
2019-05-01 15:07:57,762: Key.space:
2019-05-01 15:07:58,168: 't':
2019-05-01 15:07:58,355: 'h':
2019-05-01 15:07:58,433: 'e':
2019-05-01 15:07:58,574: Key.space:
2019-05-01 15:07:58,856: 'b':
2019-05-01 15:07:59,058: 'l':
2019-05-01 15:07:59,153: 'i':
2019-05-01 15:07:59,480: 'n':
2019-05-01 15:07:59,683: 'd':
